id,prix_ttc,ca_ht,tva_collectee,paiement,provision_sav,cout_rendu_ttc,emballage,marge_contributive_avant_ads,cpa_max,cpc_eur,be_cvr,clics_par_vente_be,contrib_apres_ads_cvr_1pct,contrib_apres_ads_cvr_1_5pct,contrib_apres_ads_cvr_2pct,contrib_apres_ads_cvr_3pct
prudent,69.00,57.50,11.50,2.35,5.52,29.79,2.00,17.84,17.84,1.20,0.067268,14.87,-102.16,-62.16,-42.16,-22.16
central_sku_69,69.00,57.50,11.50,1.22,3.45,29.79,0.00,23.04,23.04,0.798,0.034629,28.88,-56.76,-30.16,-16.86,-3.56
central_99,99.00,82.50,16.50,1.64,4.95,29.79,0.00,46.12,46.12,0.798,0.017301,57.80,-33.68,-7.08,6.22,19.52
central_99_a6,99.00,82.50,16.50,2.28,4.95,29.79,0.00,45.48,45.48,0.798,0.017546,56.99,-34.32,-7.72,5.58,18.88
favorable_119,119.00,99.17,19.83,1.92,3.57,29.79,0.00,63.89,63.89,0.798,0.012490,80.06,-15.91,10.69,23.99,37.29
stress_99,99.00,82.50,16.50,3.22,7.92,29.79,0.00,41.57,41.57,1.20,0.028868,34.64,-78.43,-38.43,-18.43,1.57
alt_k23_99,99.00,82.50,16.50,1.64,4.95,27.79,0.00,48.12,48.12,0.798,0.016582,60.31,-31.68,-5.08,8.22,21.52
alt_a99_69,69.00,57.50,11.50,1.22,3.45,32.39,0.00,20.44,20.44,0.798,0.039033,25.62,-59.36,-32.76,-19.46,-6.16
